gene	via_seed	interaction_score	n_drugs	n_approved	maturity	priority	approved_drugs	top_drugs
KAT2A	BUB1B	0.4	127	22	1.0	0.4	ACITRETIN|CISPLATIN|TRYPAN BLUE FREE ACID|HALOPROGIN|OLEIC ACID|HEXACHLOROPHENE|BENZIODARONE|ESTRAMUSTINE|RITONAVIR|TRAZODONE|BEXAROTENE|THIOCTIC ACID|LINOLENIC ACID|CANDESARTAN CILEXETIL|TRETINOIN|GALLAMINE TRIETHIODIDE|OXYTETRACYCLINE ANHYDROUS|ZAFIRLUKAST|DIPYRIDAMOLE|AVOBENZONE|INDOCYANINE GREEN ACID FORM|MITOXANTRONE HYDROCHLORIDE	HYPERFORIN|SIMAZINE|FRAXINE|CHLORISONDAMINE|TRIMETHIDINIUM
HDAC1	BUB1B	0.4	69	10	1.0	0.4	VORINOSTAT|ROMIDEPSIN|4-PHENYLBUTYRIC ACID|VALPROIC ACID|DAUNORUBICIN LIPOSOMAL|PANOBINOSTAT|GIVINOSTAT HYDROCHLORIDE|GIVINOSTAT|BELINOSTAT|PANOBINOSTAT LACTATE	RG-2833|CHLAMYDOCIN|HC-TOXIN|CARBOXYCINNAMIC ACID BISHYDROXAMIDE|TUCIDINOSTAT
HDAC4	BUB1B	0.4	45	11	1.0	0.4	PANOBINOSTAT LACTATE|BELINOSTAT|GIVINOSTAT|ROMIDEPSIN|GIVINOSTAT HYDROCHLORIDE|TEMOZOLOMIDE|VORINOSTAT|PANOBINOSTAT|4-PHENYLBUTYRIC ACID|DAUNORUBICIN LIPOSOMAL|VALPROIC ACID	SPIRUCHOSTATIN C|TASQUINIMOD|BELINOSTAT|DACINOSTAT|SANTACRUZAMATE A
HDAC3	BUB1B	0.4	57	10	1.0	0.4	VORINOSTAT|GIVINOSTAT|4-PHENYLBUTYRIC ACID|BELINOSTAT|PANOBINOSTAT|DAUNORUBICIN LIPOSOMAL|ROMIDEPSIN|GIVINOSTAT HYDROCHLORIDE|PANOBINOSTAT LACTATE|VALPROIC ACID	RGFP966|RGFP109|CHR-3996|ACY-738|MOCETINOSTAT
HDAC2	BUB1B	0.4	54	12	1.0	0.4	GIVINOSTAT|VORINOSTAT|BELINOSTAT|ROMIDEPSIN|PANOBINOSTAT|PAZOPANIB|DAUNORUBICIN LIPOSOMAL|PANOBINOSTAT LACTATE|GIVINOSTAT HYDROCHLORIDE|4-PHENYLBUTYRIC ACID|VALPROIC ACID|OLAPARIB	CINNAMIC ACID HYDROXAMATE|MOCETINOSTAT|CHR-3996|ACY-738|ABEXINOSTAT
HDAC5	BUB1B	0.4	43	10	1.0	0.4	PANOBINOSTAT|ROMIDEPSIN|DAUNORUBICIN LIPOSOMAL|VALPROIC ACID|VORINOSTAT|GIVINOSTAT|4-PHENYLBUTYRIC ACID|PANOBINOSTAT LACTATE|GIVINOSTAT HYDROCHLORIDE|BELINOSTAT	BELINOSTAT|TRICHOSTATIN A|MOCETINOSTAT|GIVINOSTAT|TACEDINALINE
KAT2B	BUB1B	0.72	17	2	0.406	0.2923	EPIGALLOCATECHIN GALLATE|TRIAZOLAM	CHEMBL:CHEMBL1797709|CHEMBL:CHEMBL404916|CHEMBL:CHEMBL1797711|LTK-14|N-(3-AMINOPROPYL)-2-NITROBENZENAMINE
SIRT2	BUB1B	0.58	12	2	0.375	0.2175	PANOBINOSTAT|GEFITINIB	PAULLONE|CHEMBL:CHEMBL589270|CHEMBL:CHEMBL1794051|AGK2|COMPOUND 86 [PMID: 26982234]
EP300	BUB1B	0.4	19	1	0.269	0.1076	EPIGALLOCATECHIN GALLATE	C646|GARCINOL|CHEMBL:CHEMBL404916|CHEMBL:CHEMBL257748|CHEMBL:CHEMBL1797707
SFN	BUB1B	0.4	1	1	0.156	0.0624	IMATINIB	IMATINIB
YWHAE	BUB1B	0.4	1	1	0.156	0.0624	INSULIN, REGULAR, HUMAN	INSULIN, REGULAR, HUMAN
BUB1	BUB1B	0.75	6	0	0.037	0.0277		BAY-320|COMPOUND 2-3-2 [PMID: 24900824]|COMPOUND 2-3-1 [PMID: 24900824]|COMPOUND 2-1-1 [PMID: 24900824]|BAY-524
CENPE	BUB1B	0.58	1	0	0.006	0.0035		GSK-923295
ATP5IF1	BUB1B	0.4	1	0	0.006	0.0024		ANDROGRAPHOLIDE
CDC20	BUB1B	0.98	0	0	0.0	0.0		
BUB3	BUB1B	0.93	0	0	0.0	0.0		
MAD2L1	BUB1B	0.91	0	0	0.0	0.0		
CDC27	BUB1B	0.9	0	0	0.0	0.0		
ANAPC4	BUB1B	0.82	0	0	0.0	0.0		
CDC23	BUB1B	0.79	0	0	0.0	0.0		
CDC16	BUB1B	0.79	0	0	0.0	0.0		
ANAPC16	BUB1B	0.73	0	0	0.0	0.0		
ANAPC2	BUB1B	0.73	0	0	0.0	0.0		
KNL1	BUB1B	0.7	0	0	0.0	0.0		
ANAPC7	BUB1B	0.67	0	0	0.0	0.0		
ANAPC1	BUB1B	0.64	0	0	0.0	0.0		
CDC26	BUB1B	0.64	0	0	0.0	0.0		
MIS12	BUB1B	0.56	0	0	0.0	0.0		
ANAPC5	BUB1B	0.53	0	0	0.0	0.0		
ZWINT	BUB1B	0.53	0	0	0.0	0.0		
BAG2	BUB1B	0.53	0	0	0.0	0.0		
ANAPC10	BUB1B	0.49	0	0	0.0	0.0		
PPP2R5A	BUB1B	0.44	0	0	0.0	0.0		
C1QBP	BUB1B	0.4	0	0	0.0	0.0		
TCERG1	BUB1B	0.4	0	0	0.0	0.0		
MAD2L1BP	BUB1B	0.4	0	0	0.0	0.0		
UBC	BUB1B	0.4	0	0	0.0	0.0		
