gene	via_seed	interaction_score	n_drugs	n_approved	maturity	priority	approved_drugs	top_drugs
CDK4	CDKN2A	0.96	71	15	1.0	0.96	ABEMACICLIB|TRILACICLIB|RIBOCICLIB SUCCINATE|ALPELISIB|ASCORBIC ACID|APREMILAST|NICOTINE POLACRILEX|DEXAMETHASONE|PROGESTERONE|TRILACICLIB DIHYDROCHLORIDE|RIBOCICLIB SUCCINATE|PALBOCICLIB|SOMATROPIN (RECOMBINANT DNA ORIGIN)|RIBOCICLIB|CAMPTOTHECIN	CHEMBL:CHEMBL1956069|RO-0505124|VORUCICLIB|LEROCICLIB|FASCAPLYSIN
SIRT1	TP53	0.96	36	7	0.975	0.936	RISEDRONIC ACID|ALENDRONATE SODIUM|RESVERATROL|PANOBINOSTAT|NIACIN|IBANDRONATE|ZOLEDRONIC ACID ANHYDROUS	SRT1720|ALTISSIMACOUMARIN C|CHEMBL:CHEMBL403308|ALTISSIMACOUMARIN D|CHEMBL:CHEMBL254156
CDK6	CDKN2A	0.95	37	9	0.981	0.9319	TRILACICLIB|PALBOCICLIB|FULVESTRANT|ABEMACICLIB|TRILACICLIB DIHYDROCHLORIDE|RIBOCICLIB SUCCINATE|RIBOCICLIB SUCCINATE|APREMILAST|RIBOCICLIB	LEROCICLIB|TRILACICLIB|INIXACICLIB|CIMPUCICLIB|TRILACICLIB DIHYDROCHLORIDE
CREBBP	TP53	0.96	31	7	0.944	0.9062	TRIAZOLAM|PAPAVERINE|METHYLPHENIDATE HYDROCHLORIDE|COLCHICINE|ESTAZOLAM|MIDAZOLAM HYDROCHLORIDE|ALPRAZOLAM	CHEMBL:CHEMBL1797712|CHEMBL:CHEMBL1797713|PRI-724|GNE-049|ISCHEMIN
MDM2	CDKN2A|TP53	1	32	4	0.8	0.8	PEMBROLIZUMAB|IPILIMUMAB|CISPLATIN|NIVOLUMAB	NUTLIN-3|LISSOCLINIDINE B|DIPLAMINE B|MILADEMETAN TOSYLATE|MILADEMETAN
HDAC1	TP53	0.77	69	10	1.0	0.77	VORINOSTAT|ROMIDEPSIN|4-PHENYLBUTYRIC ACID|VALPROIC ACID|DAUNORUBICIN LIPOSOMAL|PANOBINOSTAT|GIVINOSTAT HYDROCHLORIDE|GIVINOSTAT|BELINOSTAT|PANOBINOSTAT LACTATE	RG-2833|CHLAMYDOCIN|HC-TOXIN|CARBOXYCINNAMIC ACID BISHYDROXAMIDE|TUCIDINOSTAT
CDKN1A	TP53	0.82	30	19	0.938	0.7692	CYCLOSPORINE|EPOETIN ALFA|PACLITAXEL PROTEIN-BOUND|MELPHALAN|NICOTINE POLACRILEX|ARSENIC TRIOXIDE|IRINOTECAN HYDROCHLORIDE|ACETAMINOPHEN|CELECOXIB|FLUOROURACIL|4-PHENYLBUTYRIC ACID|CARBOPLATIN|FLUTAMIDE|CLADRIBINE|DICUMAROL|ROMIDEPSIN|PENTETIC ACID|SODIUM SALICYLATE|VINBLASTINE	PENTETIC ACID|DIAZIQUONE|ANTIMETABOLITE|FARNESYL TRANSFERASE INHIBITOR|CASPASE INHIBITOR
MDM4	TP53	0.97	6	5	0.787	0.7634	EPIRUBICIN|DOCETAXEL ANHYDROUS|NIVOLUMAB|ATEZOLIZUMAB|PEMBROLIZUMAB	SULANEMADLIN|ATEZOLIZUMAB|NIVOLUMAB|EPIRUBICIN|PEMBROLIZUMAB
PARP1	TP53	0.75	43	11	1.0	0.75	NIRAPARIB|OLAPARIB|NIACIN|NIRAPARIB TOSYLATE|TALAZOPARIB|TALAZOPARIB TOSYLATE|RUCAPARIB|TRABECTEDIN|CICLOPIROX|RUCAPARIB CAMSYLATE|NIRAPARIB TOSYLATE MONOHYDRATE	4-[3-(1,4-DIAZEPAN-1-YLCARBONYL)-4-FLUOROBENZYL]PHTHALAZIN-1(2H)-ONE|INIPARIB|COMPOUND 9 [LIN ET AL., 2023]|AMELPARIB DIHYDROCHLORIDE DIHYDRATE|CEP-9722
PLK1	TP53	0.74	190	19	1.0	0.74	OLEIC ACID|ACITRETIN|OXYTETRACYCLINE ANHYDROUS|STAVUDINE|SIMVASTATIN|DISULFIRAM|IDARUBICIN HYDROCHLORIDE|CEFACLOR ANHYDROUS|LANSOPRAZOLE|HEXACHLOROPHENE|BENZBROMARONE|APOMORPHINE HYDROCHLORIDE|HYDROXYZINE PAMOATE|INAMRINONE|TOPOTECAN HYDROCHLORIDE|ERYTHROMYCIN|OMEPRAZOLE|SUCCIMER|DIPYRIDAMOLE	NMS-1286937|GSK-461364A|TAK-960|POLO-LIKE KINASE 1 INHIBITOR GSK461364|BI-2536
CFTR	TP53	0.71	49	19	1.0	0.71	LUMACAFTOR|TEZACAFTOR|APIGENIN|TEZACAFTOR AND IVACAFTOR|ROFLUMILAST|CROFELEMER|CURCUMIN|CAPSAICIN|IVACAFTOR|NIMODIPINE|CYSTEAMINE HYDROCHLORIDE|DEUTIVACAFTOR|FELODIPINE|ELEXACAFTOR|ELEXACAFTOR|VANZACAFTOR|GENISTEIN|GLYBURIDE|VORINOSTAT	TEZACAFTOR|LUMACAFTOR|ELEXACAFTOR|CROFELEMER|IOWH-032
HTT	TP53	0.71	151	29	1.0	0.71	DAUNORUBICIN LIPOSOMAL|RISPERIDONE|O-PHENANTHROLINE|LEFLUNOMIDE|DACTINOMYCIN|METHYLPHENIDATE|HEXACHLOROPHENE|CHLOROXINE|TERFENADINE|MITOXANTRONE|INDOPROFEN|AZACITIDINE|MECHLORETHAMINE HYDROCHLORIDE|TRYPAN BLUE FREE ACID|TERAZOSIN|MIBEFRADIL DIHYDROCHLORIDE|BITHIONOL|PYRITHIONE ZINC|OXYBENZONE|KETOROLAC TROMETHAMINE|RESVERATROL|CLIOQUINOL|CHLORHEXIDINE GLUCONATE|VANDETANIB|PROMETHAZINE HYDROCHLORIDE|FLUSPIRILENE|PROFLAVINE|PERHEXILINE MALEATE|IDARUBICIN	CHEMBL:CHEMBL258316|FUCHSIN, BASIC|CHEMBL:CHEMBL602987|CHEMBL:CHEMBL577419|CHEMBL:CHEMBL526034
GSK3B	TP53	0.66	77	7	1.0	0.66	LITHIUM CARBONATE|CITALOPRAM|BETA SITOSTEROL|FLUOXETINE HYDROCHLORIDE|LITHIUM CITRATE|LITHIUM CATION|METHOTREXATE	CHEMBL:CHEMBL449063|ELRAGLUSIB|CHEMBL:CHEMBL1081326|PALINURIN|PALBINONE
CHEK2	TP53	0.65	42	10	1.0	0.65	TALAZOPARIB|GEFITINIB|ENZALUTAMIDE|VEMURAFENIB|PALBOCICLIB|PREDNISONE|ABIRATERONE ACETATE|RUCAPARIB|NIRAPARIB|OLAPARIB	XL844|CHK2 INHIBITOR II|CCT241533|PF-477736|CCT245737
WRN	TP53	0.65	85	16	1.0	0.65	DAUNORUBICIN HYDROCHLORIDE|LINOLENIC ACID|BLEOMYCIN|LEVODOPA|MITOXANTRONE HYDROCHLORIDE|CAMPTOTHECIN|MITOXANTRONE|CEPHAPIRIN SODIUM|DOXORUBICIN HYDROCHLORIDE|MASOPROCOL|IDARUBICIN HYDROCHLORIDE|INDOCYANINE GREEN ACID FORM|UREA|FENOLDOPAM MESYLATE|OXYTETRACYCLINE ANHYDROUS|EPIRUBICIN HYDROCHLORIDE	CHEMBL:CHEMBL364729|BERBERRUBINE|CHEMBL:CHEMBL1707907|UREA|CHEMBL:CHEMBL494668
HSPB1	TP53	0.66	36	12	0.975	0.6435	ARGIPRESSIN|MOMETASONE|ALBENDAZOLE|O-PHENANTHROLINE|QUERCETIN|OMEPRAZOLE|CYCLOFENIL|ROFECOXIB|FEPRAZONE|ASCORBIC ACID|UREA|TRIAMTERENE	APATORSEN|DICARBONODITHIOIMIDIC DIAMIDE|CHEMBL:CHEMBL2332783|THERAPEUTIC ESTROGEN|CHEMBL:CHEMBL2094499
HMGB1	TP53	0.74	19	9	0.869	0.6431	CHLORAMPHENICOL|SODIUM CHLORIDE|AMPICILLIN (ANHYDROUS)|CISPLATIN|BIFONAZOLE|SULFURIC ACID|UREA|ITRACONAZOLE|PREDNISOLONE	SULFURIC ACID|DNA INTERCALATING AGENT|STALLIMYCIN|THERAPEUTIC AUTOLOGOUS DENDRITIC CELLS|MELANOMA ANTIGEN RECOGNIZED BY T-CELLS 1
PRKCD	TP53	0.6	41	5	1.0	0.6	INGENOL MEBUTATE|MIDOSTAURIN|DEHYDRATED ALCOHOL|GLYCYRRHETINIC ACID|QUERCETIN	DELCASERTIB|TETRADECANOYL PHORBOL ACETATE|DELCASERTIB|CC-90005|BRYOSTATIN 1
GMNN	CDKN2A	0.59	482	92	1.0	0.59	AZACITIDINE|DIPYRIDAMOLE|SORAFENIB|FLUSPIRILENE|ZAFIRLUKAST|PROCHLORPERAZINE|RESCINNAMINE|LIOTHYRONINE SODIUM|FEPRAZONE|TERFENADINE|METHYLDOPA ANHYDROUS|HALOPERIDOL DECANOATE|DIENESTROL|VINCRISTINE SULFATE|DIGITOXIN|PRAZOSIN HYDROCHLORIDE|DYCLONINE HYDROCHLORIDE|BENZIODARONE|ALBENDAZOLE|PERMETHRIN|BENZBROMARONE|MICONAZOLE NITRATE|VINBLASTINE|NIFEDIPINE|PERPHENAZINE|VANDETANIB|MASOPROCOL|CHOLECALCIFEROL|THIOTEPA|HEXACHLOROPHENE|DYCLONINE|CALCIFEDIOL ANHYDROUS|VIDARABINE|FELODIPINE|NISOLDIPINE|GEFITINIB|TRIPARANOL|CURCUMIN|DIBUCAINE|RIMONABANT|DIETHYLSTILBESTROL|DIMERCAPROL|DOXAZOSIN MESYLATE|APOMORPHINE HYDROCHLORIDE|HALOPROGIN|COLCHICINE|VINCRISTINE|QUINESTROL|CLOTRIMAZOLE|DISULFIRAM|CARPHENAZINE|PODOFILOX|DIGOXIN|TOREMIFENE CITRATE|LORATADINE|ETHACRYNIC ACID|QUINAPRIL HYDROCHLORIDE|CINACALCET|TRICLABENDAZOLE|IMIQUIMOD|SORAFENIB TOSYLATE|MEBENDAZOLE|DECITABINE|DESOGESTREL|ETHYLESTRENOL|CALCITRIOL|CHLOROXINE|DIPHENOXYLATE HYDROCHLORIDE|NICLOSAMIDE|DEFEROXAMINE MESYLATE|RESERPINE|LERCANIDIPINE|ETRETINATE|ACITRETIN|VORINOSTAT|EBASTINE|PACLITAXEL PROTEIN-BOUND|DASATINIB ANHYDROUS|BIFONAZOLE|AMIODARONE HYDROCHLORIDE|ETOPOSIDE|AMIODARONE HYDROCHLORIDE|RALOXIFENE HYDROCHLORIDE|TAMOXIFEN CITRATE|DIBUCAINE HYDROCHLORIDE|ASTEMIZOLE|DULOXETINE HYDROCHLORIDE|AMCINONIDE|PYRITHIONE ZINC|TRIFLUPROMAZINE HYDROCHLORIDE|TAMOXIFEN|OLEIC ACID	METHYL DEOXYCHOLATE|ACETOMENAPHTHONE|LIDAMIDINE HYDROCHLORIDE|OXIBENDAZOLE|BROMHEXINE HYDROCHLORIDE
CHEK1	TP53	0.57	52	8	1.0	0.57	PALBOCICLIB|GEMCITABINE|OLAPARIB|DOXORUBICIN HYDROCHLORIDE|PACLITAXEL PROTEIN-BOUND|GEMTUZUMAB OZOGAMICIN|ETOPOSIDE|CISPLATIN	RABUSERTIB|CCT244747|CHEMBL:CHEMBL506048|SCH-900776|PREXASERTIB
BRCA2	TP53	0.65	19	12	0.869	0.5648	CARBOPLATIN|OLAPARIB|TALAZOPARIB|NIRAPARIB|RUCAPARIB|CISPLATIN|BOSUTINIB|TEMOZOLOMIDE|ENZALUTAMIDE|DASATINIB ANHYDROUS|GEMCITABINE|SACITUZUMAB GOVITECAN	PIDNARULEX|INIPARIB|QUARFLOXIN|OLAPARIB|RUCAPARIB
COP1	TP53	0.72	5	5	0.781	0.5623	TOCAINIDE|PROPAFENONE|PROCAINAMIDE|QUININE|FLECAINIDE ACETATE	TOCAINIDE|PROCAINAMIDE|PROPAFENONE|QUININE|FLECAINIDE ACETATE
BCL2	TP53	0.56	83	33	1.0	0.56	BORTEZOMIB|DOXORUBICIN HYDROCHLORIDE|MITOXANTRONE HYDROCHLORIDE|VENETOCLAX|ISOTRETINOIN|BRENTUXIMAB VEDOTIN|OXALIPLATIN|TAZAROTENE|EDARAVONE|TENIPOSIDE|CARBOPLATIN|ESTRAMUSTINE|CISPLATIN|EPIRUBICIN HYDROCHLORIDE|ETOPOSIDE|RIBAVIRIN|DIETHYLSTILBESTROL|MASOPROCOL|TRETINOIN|POLATUZUMAB VEDOTIN|SELENIUM|4-PHENYLBUTYRIC ACID|ERYTHROMYCIN|METHYLPREDNISOLONE|URSODIOL|PACLITAXEL PROTEIN-BOUND|VALPROIC ACID|VINCRISTINE|FLOXURIDINE|STREPTOZOCIN|PENTOXIFYLLINE|DOCETAXEL ANHYDROUS|HYDROQUINONE	OBLIMERSEN|AMINOLEVULINIC ACID|MICELLAR PACLITAXEL|DOLASTATIN 10|BEAUVERICIN
ABL1	TP53	0.56	101	38	1.0	0.56	INOTUZUMAB OZOGAMICIN|DASATINIB ANHYDROUS|PONATINIB|OXALIPLATIN|ASCIMINIB|ERLOTINIB|IMATINIB|OMACETAXINE MEPESUCCINATE|AXITINIB|TRAMETINIB DIMETHYL SULFOXIDE|VANDETANIB|OMACETAXINE|SORAFENIB|IMATINIB MESYLATE|ASCIMINIB HYDROCHLORIDE|CRIZOTINIB|REGORAFENIB|BUSULFAN|CABOZANTINIB S-MALATE|ADENOSINE TRIPHOSPHATE|MELPHALAN|PONATINIB HYDROCHLORIDE|ACYCLOVIR|CELECOXIB|HYDROXYUREA|PROGESTERONE|NILOTINIB HYDROCHLORIDE MONOHYDRATE|ENTRECTINIB|BLINATUMOMAB|BOSUTINIB|AZACITIDINE|PAZOPANIB|NILOTINIB|BOSUTINIB MONOHYDRATE|UMBRALISIB TOSYLATE|VENETOCLAX|GENISTEIN|VINCRISTINE	ASCIMINIB|NILOTINIB|PONATINIB|BOSUTINIB|BAFETINIB
PIN1	TP53	0.89	28	3	0.625	0.5563	IRINOTECAN HYDROCHLORIDE|OXALIPLATIN|CLODRONIC ACID	CYCLIC CRYPEVEIC|BJP-06-005-3|AG-17724|API-32|COMPOUND 20 [PMID: 25091930]
NPM1	CDKN2A|TP53	0.68	10	8	0.812	0.5522	CERITINIB|DAUNORUBICIN LIPOSOMAL|TRETINOIN|MIDOSTAURIN|REVUMENIB|CRIZOTINIB|ZIFTOMENIB|VENETOCLAX	REVUMENIB|NUCLEOLIN ANTAGONIST IPP-204106N|ZIFTOMENIB|REVUMENIB|CERITINIB
