gene	chrom	start	end	strand	assembly
BUB1B	15	40160984	40221137	1	GRCh38
CEP57	11	95789965	95837070	1	GRCh38
BUB1	2	110635468	110678098	-1	GRCh38
BUB3	10	123154365	123313144	1	GRCh38
MAD2L1	4	120055623	120067192	-1	GRCh38
MAD2L2	1	11657230	11692605	-1	GRCh38
ZW10	11	113729794	113773771	-1	GRCh38
ZWINT	10	56352710	56361392	-1	GRCh38
ANAPC1	2	111611639	111884690	-1	GRCh38
PLK1	16	23677656	23690372	1	GRCh38
CDC20	1	43358907	43363212	1	GRCh38
CDC27	17	47117703	47189422	-1	GRCh38
TRIP13	5	892849	919357	1	GRCh38
CASC5	15	40594002	40664342	1	GRCh38
